Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Deserter,1970,The Devil's Backbone; La Spina Dorsale del Diavolo,Niska Fulgozzi / Burt Kennedy,Richard Crenna,"Chuck Connors, Bekim Fehmiu, Ricardo Montalban, Fausto Tozzi, Slim Pickens, Woody Strode, John Huston",Piero Piccioni,A gritty Dirty Dozen-style western starring Bekim Fehmiu as an embittered cavalry deserter recruited by a general (John Huston) to lead a specialized squad of cutthroats and misfits into an impregnable Apache mountain stronghold across the Mexican border.
Desperado,1972,Now They Call Him Amen; I Bandoleros della Dodicesima Ora,Alfonso Balcazar (as Al Bagrain),Michael Forest,"Fred Harrison, Malisa Longo, Paolo Gozlino",Willy Brezza,"A wandering, weary gunfighter rides into an oppressed agricultural territory and comes to the defense of a community of terrified homesteaders. He falls in love with a spirited widowed rancher (Malisa Longo) and takes up arms to wipe out the extortion syndicate terrorizing the valley."
Dick Luft in Sacramento,1974,Di Tressette C'è Ne Uno... Tutti gli Altri son Nessuno,Giuliano Carmineo (as Anthony Ascott),George Hilton,"Tony Norton, Chris Huerta, Umberto D'Orsi, Nello Pazzafini, Renato Baldini",Alessandro Alessandroni,"A broad, farcical satire directed by the genre's most prolific director, Giuliano Carmineo. George Hilton stars as Dick Luft, an incompetent wanna-be gunslinger whose clever sidekick Veleno orchestrates every encounter from the shadows to make him look like a legendary dead-eye hero."
"Dig Your Grave, Friend... Sabata's Coming",1970,"Stagecoach of the Condemned; Not Sabata or Trinity... It's Sartana; Abre Tu Fosa, Amigo... Llega Sabata",Ignacio Iquino (as John Wood),Richard Harrison,"Fernando Sancho, Raf Baldassare, Alejandro Ulloa, Erika Blanc, Indio Gonzalez, Luis Induñi",Enrique Escobar (as Henry Sothe),"Steve McGowan (Richard Harrison) partners with a boisterous Mexican bandit (Fernando Sancho) to avenge his father's murder at the hands of a corrupt land baron. When the baron hires the ice-cold mercenary Sabata to wipe them out, an explosive, three-way tactical war erupts across the territory."
Django,1966,Django,Sergio Corbucci,Franco Nero,"Loredana Nusciak, Eduardo Fajardo, Jimmy Douglas, José Bodalo, Angel Alvarez, Simon Arriaga",Luis Enrique Bacalov,"Corbucci's genre-defining masterpiece. Franco Nero stars as the iconic, mud-splattered gunslinger dragging a coffin through a godforsaken border town torn between sadistic ex-Confederates and Mexican revolutionaries. Armed with a portable machine gun, Django wages a one-man war of vengeance that culminates in an unforgettable showdown among cemetery headstones."
"Django, a Bullet for You",1966,Django... Cacciatore di Taglia,Leon Klimovsky,James Philbrook,"Aldo Berti, Maria Kost, José Marco, Andres Resino",Warren Jellico,One of the very first unofficial Django follow-ups released just months after the original. James Philbrook plays the titular vigilante who intervenes to protect small homesteaders in Wagon Valley from a ruthless land baron (Aldo Berti) conspiring with corrupt railroad executives to forcibly seize the territory.
Django and Sartana Are Coming... It's the End,1970,"Django and Sartana... Showdown in the West; Final Conflict... Django Against Sartana; Sartana, If Your Left Arm Offends, Cut It Off; Arrivano Django e Sartana... È la Fine",Demofilo Fidani (as Dick Spitfire),Hunt Powers,"Chet Davis, Gordon Mitchell, Simone Blondell, Krista Nell, Ettore Manni",Coriolano Gori,"Cult hack director Demofilo Fidani pairs the two biggest names of the genre for an offbeat outing. Gordon Mitchell plays bandit leader Black Burt, who abducts a wealthy rancher's daughter. Bounty hunters Django (Hunt Powers) and Sartana (Chet Davis) track the gang across the Mexican border, only to clash over whether to claim the girl or the bounties on the dead bodies."
Django Challenges Sartana,1970,Django Defies Sartana; Django Sfida Sartana,Pasquale Squittieri (as William Redford),Tony Kendall,"Georges Ardisson, Malisa Longo, José Jaspe, José Torres, Rick Boyd",Piero Umiliani,"A well-lensed, fast-paced actioner featuring two iconic western archetypes on the trail of the same elusive bandit gang. Initially clashing over competing bounties and mutual suspicion, Django (Tony Kendall) and Sartana (Georges Ardisson) eventually join forces to wage an explosive final assault on the outlaws' fortified mountain redoubt."
Django Does Not Forgive,1967,Django Non Perdona,Julio Buchs (as Julio Garcia),John Clark,"Hugo Blanco, Frank Braña, Miguel De La Riva, Gustavo Rojo, Nuria Torray, Manuel Miranda, Luis Induñi",Perez A. Olen,"A unique revenge western transposed to a harsh Canadian frontier backdrop. When a rogue Mountie rapes and murders his sister, Django (John Clark) embarks on an obsessive pursuit that plunges him into the middle of a raging territorial war between the army and local indigenous tribes."
"Django, Kill... If You Live, Shoot!",1967,Se Sei Vivo Spara,Giulio Questi,Tomás Milian,"Ray Lovelock, Piero Lulli, Milo Quesada, Roberto Camardiel, Frank Braña, Marilu Tolo, Paco Sanz",Ivan Vandor,"Regarded as the most surreal, violent, and gothic Eurowestern ever created. Tomás Milian stars as a half-breed gunman who claws his way out of a mass grave armed with gold bullets. He wanders into The Lears, a nightmarish town torn apart by greed, sadism, and a bizarre gang of black-clad outlaws led by a villain named Zorro (Roberto Camardiel)."
Django Kills Softly,1968,Bill il Taciturno... Django Uccide,Massimo Pupillo (as Max Hunter),George Eastman,"Edwin G. Ross, Liana Orfei, Mimmo Maggio, Peter Hellmann, Spartaco Conversi, Rick Boyd",Berto Pisano,"Horror director Massimo Pupillo helms this hyper-violent textbook revenge thriller. George Eastman plays a brooding, phantom-like Django who rescues a woman from Mexican bandits, only to arrive in a frontier town where the entire hotel staff and guests have been massacred by a sadistic local boss and his unhinged brothers."
"Django, Last Killer",1967,L'Ultimo Killer,Giuseppe Vari (as Joseph Warren),Anthony Ghidra,"George Eastman, Dana Ghia, Daniele Vargas, John Hamilton, Mirko Ellis, John MacDouglas",Roberto Pregadio,"A desperate young Mexican farmer named Ramon (George Eastman) sees his parents slaughtered and his land stolen by a tyrannical land baron. Despondent, he crosses paths with legendary bounty hunter Django (Anthony Ghidra), who takes pity on the youth and trains him in the deadly art of pistol marksmanship for an inevitable showdown."
Django Shoots First,1966,He Who Shoots First; Django Spara per Primo,Alberto De Martino,Glenn Saxon,"Fernando Sancho, Evelyn Stewart, Erika Blanc, José M. Martin, Lee Burton, Alberto Lupo, Diana Lorys",Bruno Nicolai,"Glenn Saxon steps into the role of Django, arriving in town to claim his inheritance from his murdered father, only to discover his former business partner Doc Gordon (Fernando Sancho) has usurped control of the town. Packed with fast-paced saloon brawls, shootouts, and an exceptional musical score by Bruno Nicolai."
Django Strikes Again,1987,Ritorno di Django,Nello Rossati (as Ted Archer),Franco Nero,"Donald Pleasence, Christopher Connelly, William Berger, Licinia Lentini",Gianfranco Plenizio,"The only official sequel to the 1966 original recognized by Sergio Corbucci and starring Franco Nero. Having lived in a secluded South American monastery for over a decade, Django is forced to dig up his buried machine gun from a grave when a tyrannical slaver (Christopher Connelly) kidnaps his young daughter."
Django the Bastard,1969,Stranger's Gundown; Django il Bastardo,Sergio Garrone,Anthony Steffen,"Lu Kamenke, Paolo Gozlino, Rada Rassimov, Furio Meniconi, Jean Louis, Teodoro Corra, Riccardo Garrone",Vasco and Mancuso,"Widely cited as the uncredited inspiration for Clint Eastwood's High Plains Drifter. Anthony Steffen plays a spectral, black-clad avenger who appears from the shadows to execute the traitorous Confederate officers who massacred his battalion for gold years earlier, placing a cross marked with each man's name and hour of death before killing them."
Djurado,1966,Dyurado; . . .E Djurado,Gianni Narzisi,Montgomery Clark,"Scilla Gabel, Mary Jordan, Isarco Ravaioli, Margaret Lee, Luis Induñi, Goyo Lebrero",Gianni Ferrio,"Montgomery Clark plays a suave, unbeatable gambler nicknamed 'Golden Poker' who wins half-ownership of a border saloon. When the town is terrorized by a sadistic bandit chief named Tucan (Luis Induñi), the gambler relies on his concealed quick-draw talents and a local federal lawman to liberate the settlement."
Do Not Touch the White Woman,1974,Touche Pas la Femme Blanche; Non Toccate la Donna Bianca,Marco Ferreri,Marcello Mastroianni,"Catherine Deneuve, Ugo Tognazzi, Michel Piccoli, Philippe Noiret, Darry-Cowl, Franco Fabrizi",Philippe Sarde,"A biting surrealist art-house political satire from provocateur Marco Ferreri. The film restages Custer's Last Stand as an allegorical conflict inside the modern construction crater of the Forum des Halles in downtown Paris, blending period cavalry costumes, bloody battle sequences, and contemporary high-rise urban development."
Dollar of Fire,1967,Un Dollaro di Fuoco,Nick Nostro,Michael Riva,"Diana Garson, Albert Farley, Indio Gonzales, Jack Rocks, Mario Maranzana, Diana Sorel",Enrique Escobar,"A frontier marshal (Michael Riva) arrives in the vice-ridden town of Jerrington to clean up rampant corruption and gambling syndicates. After shutting down a notorious brothel, he finds himself targeted by the mayor, only to discover the enigmatic woman running the crime ring is the wife who abandoned him years earlier."
Dollars for a Fast Gun,1968,One Hundred Thousand Dollars for Lassiter; 100.000 Dollari per Lassiter,Joaquin Romero Marchent,Robert Hundar,"Peter Martell, Pamela Tudor, Luigi Pistilli, Jesus Puente, Roberto Camardiel, José Bodalo, Aldo Sambrell",Marcello Giombini,"A wheelchair-bound former bank robber turned ruthless land baron (José Bodalo) crushes local homesteaders with exorbitant taxes and hired muscle. Desperate, a widowed rancher hires a dapper gunfighter named Lassiter (Robert Hundar) to orchestrate an elaborate scheme that dismantles the baron's criminal enterprise."
Don't Turn the Other Cheek,1971,Long Live Your Death; Viva la Muerte . . . Tua,Duccio Tessari,Franco Nero,"Eli Wallach, Lynn Redgrave, Eduardo Fajardo, José Jaspe, Horst Janson, Mirko Ellis",Gianni Ferrio,"A lively comedic romp directed by Duccio Tessari set during the Mexican Revolution. A cynical Russian con artist prince (Franco Nero), an earthy peasant bandit (Eli Wallach), and an idealistic, fiery Irish revolutionary journalist (Lynn Redgrave) form a volatile partnership in search of hidden gold and political chaos."
"Don't Wait, Django... Shoot!",1969,"Non Aspettare, Django... Spara!",Edoardo Mulargia (as Edward G. Muller),Ivan Rassimov (as Sean Todd),"Pedro Sanchez, Rada Rassimov, Bill Jackson, Gino Buzzanca, Alfredo Rizzo",Felice Di Stefano,"Django (Ivan Rassimov) and his sidekick Diego are hired by a young woman to avenge her uncle's murder by a greedy land baron. The plot turns chaotic when a rival band of Mexican bandits hijacks the conflict, forcing Django into a vicious rescue mission to save the girl from execution."
Drummer of Vengeance,1971,Day of Judgment; Doomsday; Il Giorno del Giudizio,Mario Gariazzo (as Robert Paget),Ty Hardin,"Craig Hill, Gordon Mitchell, Rossano Brazzi, Ida De Benedetto, Raf Baldassarre, Rosalba Neri",CAM Recording,"A grim British-Italian co-production starring Ty Hardin as 'The Stranger', a traumatized wanderer who methodically hunts down and eliminates the six ruthless outlaws who raped and murdered his wife (Rosalba Neri) and child. Notable for its somber tone and an impressive lineup of genre regulars like Craig Hill and Gordon Mitchell."
Duck You Sucker,1971,A Fistful of Dynamite; Giù la Testa,Sergio Leone,James Coburn,"Rod Steiger, Maria Monti, Rik Battaglia, Franco Graziosi, Romolo Valli, Domingo Antoine",Ennio Morricone,"Sergio Leone's grand, explosive epic of the Mexican Revolution. An IRA explosives expert on the run (James Coburn) crosses paths with an amoral Mexican bandit (Rod Steiger). What begins as an elaborate bank heist turns into an ideological awakening as both men are swept into the catastrophic violence of revolutionary warfare."
Duel at Sundown,1965,Duel au Crépuscule; Duell vor Sonnenuntergang,Leopoldo Lahola,Peter Van Eyck,"Carole Gray, Wolfgang Kieling, Mario Girotti (Terence Hill), Carl Lange, Walter Barnes",Zui Borodo,A classic German-backed drama featuring Terence Hill in an early role as Don McGow. He and his brother Larry (Peter Van Eyck) find themselves pitted against each other when Don falls in love with the daughter of a neighboring rancher targeted by their despotic land-grabbing father (Walter Barnes).
Duel in the Eclipse,1967,Requiem for a Gringo; Requiem per un Gringo,Eugenio Martin / José Luis Merino,Lang Jeffries,"Femi Benussi, Fernando Sancho, Carlo Gaddi, Ruben Rojo, Aldo Sambrell, Carlo Simoni",Angelo Francesco Lavagnino,"Peplum star Lang Jeffries plays a quiet rancher who seeks vengeance after his brother is tortured and murdered by bandidos. He infiltrates the gang, biding his time until a total solar eclipse provides the darkness needed to wage an eerie, cinematic final shootout."
"Durango Is Coming, Pay or Die",1972,"Arriva Durango, Paga o Muori",Roberto Montero (as Luis Monter),Brad Harris,"José Torres, José Rivas Jaspe, Gabriella Giorgelli",Coriolano Gori / Lallo Gori,Brad Harris stars as a hardened bounty hunter arriving in a corrupt border outpost to track down a gang of killers who have taken over the region. Packed with brawls and fast-draw confrontations typical of director Roberto Montero's energetic exploitation style.
Dust in the Sun,1971,Lust in the Sun; Dans la Poussière du Soleil,Richard Balducci,Bob Cunningham,"Maria Schell, Daniel Beretta, José Calvo, Perla Cristal, Karin Meier",Francis Lai,"An obscure French-produced frontier drama focusing on psychological drama, greed, and romantic betrayals among isolated desert dwellers. Notable for an original score by Academy Award-winning French composer Francis Lai."
